student_id,resident_id,email,student_name,college,department,grade,gender,admission_type,gpa_current,gpa_prev_semester,gpa_drop_amount,earned_credits,attendance_rate,failed_course_count,lms_access_days_monthly,extracurricular_hours,extracurricular_program_count,competency_gap_score,counseling_session_count,is_risk_student
2022110001,031108-4210268,std_2022110001@dongguk.edu,학생_1,경영대학,회계학과,4,F,논술위주,2.87,2.97,0.1,18,90.3,0,20,25.2,4,44.6,,0
2021110002,021127-3970910,std_2021110002@dongguk.edu,학생_2,공과대학,기계로봇에너지공학과,4,M,교과위주(학교장추천),4.36,3.83,-0.53,18,94.3,0,14,25.2,4,24.8,2.0,0
2021110003,020928-4339629,std_2021110003@dongguk.edu,학생_3,바이오시스템대학,바이오환경과학과,4,F,수능위주(정시),3.22,3.22,-0.0,18,89.8,0,19,27.9,4,17.3,1.0,0
2023110004,040226-3302283,std_2023110004@dongguk.edu,학생_4,사범대학,국어교육과,3,M,교과위주(학교장추천),2.3,3.89,1.0,15,73.4,1,2,0.0,0,74.3,1.0,1
2023110005,040915-4476896,std_2023110005@dongguk.edu,학생_5,공과대학,컴퓨터인공지능전공,3,F,교과위주(학교장추천),1.62,2.62,1.0,9,65.6,3,7,7.9,1,67.5,0.0,1
2023110006,040201-3451279,std_2023110006@dongguk.edu,학생_6,문과대학,영어영문학전공,3,M,교과위주(학교장추천),3.26,3.69,0.43,15,85.8,1,24,28.7,4,37.4,1.0,0
2023110007,040915-4318126,std_2023110007@dongguk.edu,학생_7,공과대학,기계로봇에너지공학과,3,F,학생부종합(DoDream),2.8,3.25,0.45,18,96.3,0,23,46.9,7,46.2,1.0,0
2024110008,050921-3626981,std_2024110008@dongguk.edu,학생_8,문과대학,철학과,2,M,교과위주(학교장추천),3.86,3.8,-0.05,15,92.7,1,16,32.5,5,16.9,,0
2022110009,030307-4551269,std_2022110009@dongguk.edu,학생_9,문과대학,국어국문학과,4,F,수능위주(정시),2.98,2.94,-0.04,18,95.6,0,16,38.0,5,29.8,0.0,0
2024110010,051117-3325281,std_2024110010@dongguk.edu,학생_10,문과대학,영어영문학전공,2,M,논술위주,2.52,2.46,-0.06,15,93.9,1,15,31.7,5,18.5,2.0,0
2022110011,030624-4468452,std_2022110011@dongguk.edu,학생_11,경영대학,회계학과,4,F,수능위주(정시),3.02,2.78,-0.25,18,91.7,0,26,32.7,5,30.1,3.0,0
2021110012,020901-3577095,std_2021110012@dongguk.edu,학생_12,문과대학,영어영문학전공,4,M,교과위주(학교장추천),1.21,2.94,1.72,9,64.9,3,8,0.3,0,67.7,1.0,1
2024110013,051205-4217796,std_2024110013@dongguk.edu,학생_13,바이오시스템대학,식품생명공학과,2,F,학생부종합(DoDream),4.31,4.05,-0.27,15,92.9,1,24,30.5,4,41.0,3.0,0
2021110014,020325-3867836,std_2021110014@dongguk.edu,학생_14,공과대학,정보통신공학과,4,M,수능위주(정시),2.2,1.7,-0.33,18,93.9,0,23,33.6,5,34.2,1.0,0
2022110015,030606-4234508,std_2022110015@dongguk.edu,학생_15,문과대학,철학과,4,F,논술위주,2.2,1.87,-0.21,18,97.4,0,21,51.8,7,29.7,3.0,0
2022110016,031214-3398356,std_2022110016@dongguk.edu,학생_16,바이오시스템대학,바이오환경과학과,4,M,학생부종합(DoDream),3.5,3.29,-0.21,18,87.9,0,16,18.9,3,37.1,3.0,0
2021110017,020215-4373237,std_2021110017@dongguk.edu,학생_17,문과대학,사학과,4,F,논술위주,3.34,3.04,-0.3,18,95.7,0,17,17.3,2,13.1,3.0,0
2024110018,051007-3320984,std_2024110018@dongguk.edu,학생_18,경영대학,경영학과,2,M,교과위주(학교장추천),4.1,3.81,-0.29,18,88.0,0,18,24.8,4,53.1,1.0,0
2024110019,050120-4170313,std_2024110019@dongguk.edu,학생_19,바이오시스템대학,생명과학과,2,F,논술위주,2.55,2.28,-0.27,18,96.2,0,14,24.5,3,23.5,2.0,0
2021110020,020228-3970045,std_2021110020@dongguk.edu,학생_20,공과대학,기계로봇에너지공학과,4,M,논술위주,3.46,3.91,0.45,18,91.3,0,19,32.3,5,26.8,0.0,0
2022110021,030705-4737717,std_2022110021@dongguk.edu,학생_21,경영대학,경영정보학과,4,F,교과위주(학교장추천),1.72,2.86,1.14,15,73.8,1,5,2.2,0,58.4,0.0,1
2022110022,031022-3460260,std_2022110022@dongguk.edu,학생_22,바이오시스템대학,식품생명공학과,4,M,수능위주(정시),3.17,3.76,0.59,18,90.1,0,21,22.0,3,30.6,2.0,0
2024110023,051218-4636226,std_2024110023@dongguk.edu,학생_23,경영대학,경영학과,2,F,학생부종합(DoDream),3.49,3.56,0.07,18,91.5,0,23,19.4,3,23.8,0.0,0
2024110024,050804-3160692,std_2024110024@dongguk.edu,학생_24,사범대학,국어교육과,2,M,학생부종합(DoDream),3.02,3.17,0.15,18,86.8,0,15,29.5,4,28.0,0.0,0
2023110025,040725-4954882,std_2023110025@dongguk.edu,학생_25,공과대학,컴퓨터인공지능전공,3,F,학생부종합(DoDream),3.92,3.86,-0.06,18,97.4,0,21,22.7,3,31.0,0.0,0
2021110026,021225-3766490,std_2021110026@dongguk.edu,학생_26,공과대학,컴퓨터인공지능전공,4,M,논술위주,3.37,3.43,0.06,15,100.0,1,21,32.9,5,35.0,1.0,0
2021110027,020810-4818216,std_2021110027@dongguk.edu,학생_27,바이오시스템대학,생명과학과,4,F,수능위주(정시),3.86,3.68,-0.18,18,93.1,0,11,39.7,6,27.0,1.0,0
